Price,Close
Ticker,RELIANCE.NS
Date,
2021-06-23,998.842529296875
2021-06-24,975.3587036132812
2021-06-25,953.14306640625
2021-06-28,944.7867431640625
2021-06-29,945.60205078125
2021-06-30,955.9512329101562
2021-07-01,950.1991577148438
2021-07-02,964.2847900390625
2021-07-05,973.8640747070312
2021-07-06,962.3599853515625
2021-07-07,955.679443359375
2021-07-08,947.7760009765625
2021-07-09,938.0836181640625
2021-07-12,943.92626953125
2021-07-13,950.9917602539062
2021-07-14,944.7867431640625
2021-07-15,943.1336669921875
2021-07-16,956.7437744140625
2021-07-19,950.652099609375
2021-07-20,948.3195190429688
2021-07-22,960.5029907226562
2021-07-23,953.7093505859375
2021-07-26,940.642578125
2021-07-27,930.7462768554688
2021-07-28,922.7523193359375
2021-07-29,929.9536743164062
2021-07-30,921.8238525390625
2021-08-02,938.6724243164062
2021-08-03,945.579345703125
2021-08-04,952.8261108398438
2021-08-05,966.6400756835938
2021-08-06,946.168212890625
2021-08-09,940.7784423828125
2021-08-10,945.7152099609375
2021-08-11,958.963134765625
2021-08-12,955.88330078125
2021-08-13,971.8032836914062
2021-08-16,984.4171142578125
2021-08-17,980.2276000976562
2021-08-18,984.0321044921875
2021-08-20,972.9808959960938
2021-08-23,979.3671264648438
2021-08-24,989.0369262695312
2021-08-25,997.5969848632812
2021-08-26,1010.2107543945312
2021-08-27,1008.829345703125
2021-08-30,1028.23681640625
2021-08-31,1022.756591796875
2021-09-01,1026.8101806640625
2021-09-02,1039.1749267578125
2021-09-03,1081.79443359375
2021-09-06,1098.5977783203125
2021-09-07,1105.5274658203125
2021-09-08,1101.201904296875
2021-09-09,1098.5977783203125
2021-09-13,1074.117431640625
2021-09-14,1072.7135009765625
2021-09-15,1077.1746826171875
2021-09-16,1099.7752685546875
2021-09-17,1082.7227783203125
2021-09-20,1084.444091796875
2021-09-21,1089.1317138671875
2021-09-22,1100.8170166015625
2021-09-23,1127.720458984375
2021-09-24,1124.459228515625
2021-09-27,1143.3685302734375
2021-09-28,1154.0574951171875
2021-09-29,1144.9085693359375
2021-09-30,1141.01318359375
2021-10-01,1143.029052734375
2021-10-04,1157.72607421875
2021-10-05,1181.7532958984375
2021-10-06,1159.4019775390625
2021-10-07,1165.0860595703125
2021-10-08,1209.8570556640625
2021-10-11,1201.4326171875
2021-10-12,1208.29443359375
2021-10-13,1220.591064453125
2021-10-14,1223.0595703125
2021-10-18,1226.320556640625
2021-10-19,1237.3037109375
2021-10-20,1223.0595703125
2021-10-21,1187.777099609375
2021-10-22,1189.9964599609375
2021-10-25,1178.40185546875
2021-10-26,1205.237060546875
2021-10-27,1189.9964599609375
2021-10-28,1176.952392578125
2021-10-29,1148.713134765625
2021-11-01,1149.4151611328125
2021-11-02,1132.6572265625
2021-11-03,1124.8670654296875
2021-11-04,1131.77392578125
2021-11-08,1133.1781005859375
2021-11-09,1142.1231689453125
2021-11-10,1154.8953857421875
2021-11-11,1157.0015869140625
2021-11-12,1174.4613037109375
2021-11-15,1167.5318603515625
2021-11-16,1140.402099609375
2021-11-17,1115.9896240234375
2021-11-18,1120.201904296875
2021-11-22,1070.5848388671875
2021-11-23,1080.5941162109375
2021-11-24,1064.9910888671875
2021-11-25,1129.1016845703125
2021-11-26,1092.709716796875
2021-11-29,1105.7991943359375
2021-11-30,1089.44873046875
2021-12-01,1117.3486328125
2021-12-02,1124.5272216796875
2021-12-03,1090.7396240234375
2021-12-06,1070.06396484375
2021-12-07,1078.782470703125
2021-12-08,1095.20068359375
2021-12-09,1112.5701904296875
2021-12-10,1113.7025146484375
2021-12-13,1091.3736572265625
2021-12-14,1078.012451171875
2021-12-15,1074.8648681640625
2021-12-16,1088.769287109375
2021-12-17,1060.0318603515625
2021-12-20,1031.4527587890625
2021-12-21,1046.806396484375
2021-12-22,1071.64892578125
2021-12-23,1071.26416015625
2021-12-24,1074.6837158203125
2021-12-27,1073.5286865234375
2021-12-28,1086.2781982421875
2021-12-29,1088.1353759765625
2021-12-30,1068.4786376953125
2021-12-31,1072.57763671875
2022-01-03,1088.7467041015625
2022-01-04,1113.317626953125
2022-01-05,1118.5260009765625
2022-01-06,1094.4761962890625
2022-01-07,1103.3079833984375
2022-01-10,1104.2139892578125
2022-01-11,1112.1627197265625
2022-01-12,1141.8514404296875
2022-01-13,1148.2828369140625
2022-01-14,1149.9586181640625
2022-01-17,1155.9595947265625
2022-01-18,1142.16845703125
2022-01-19,1142.0777587890625
2022-01-20,1122.08154296875
2022-01-21,1122.2626953125
2022-01-24,1076.9935302734375
2022-01-25,1074.887451171875
2022-01-27,1058.96728515625
2022-01-28,1057.9483642578125
2022-01-31,1080.9339599609375
2022-02-01,1077.3558349609375
2022-02-02,1079.552490234375
2022-02-03,1065.6025390625
2022-02-04,1055.887451171875
2022-02-07,1049.456298828125
2022-02-08,1067.09716796875
2022-02-09,1079.5299072265625
2022-02-10,1078.4202880859375
2022-02-11,1076.314208984375
2022-02-14,1059.171142578125
2022-02-15,1095.1328125
2022-02-16,1092.8682861328125
2022-02-17,1106.704833984375
2022-02-18,1098.0543212890625
2022-02-21,1086.957763671875
2022-02-22,1082.0208740234375
2022-02-23,1075.249755859375
2022-02-24,1021.6696166992188
2022-02-25,1034.4420166015625
2022-02-28,1068.6824951171875
2022-03-02,1086.346435546875
2022-03-03,1077.1746826171875
2022-03-04,1053.283203125
2022-03-07,1014.33251953125
2022-03-08,1012.4979248046875
2022-03-09,1066.214111328125
2022-03-10,1083.4927978515625
2022-03-11,1086.617919921875
2022-03-14,1095.5404052734375
2022-03-15,1070.4488525390625
2022-03-16,1088.5201416015625
2022-03-17,1124.0064697265625
2022-03-21,1117.5296630859375
2022-03-22,1146.4033203125
2022-03-23,1150.049072265625
2022-03-24,1167.916748046875
2022-03-25,1175.7069091796875
2022-03-28,1187.5281982421875
2022-03-29,1187.7999267578125
2022-03-30,1210.6270751953125
2022-03-31,1193.325439453125
2022-04-01,1202.882080078125
2022-04-04,1206.4375
2022-04-05,1189.3848876953125
2022-04-06,1186.2147216796875
2022-04-07,1165.2899169921875
2022-04-08,1184.6746826171875
2022-04-11,1182.206298828125
2022-04-12,1159.9454345703125
2022-04-13,1155.68798828125
2022-04-18,1152.1552734375
2022-04-19,1196.065673828125
2022-04-20,1231.234619140625
2022-04-21,1260.0628662109375
2022-04-22,1249.5098876953125
2022-04-25,1220.6138916015625
2022-04-26,1257.1416015625
2022-04-27,1258.364501953125
2022-04-28,1277.16064453125
2022-04-29,1263.7542724609375
2022-05-02,1259.3155517578125
2022-05-04,1220.0023193359375
2022-05-05,1196.11083984375
2022-05-06,1186.9393310546875
